,vehicle_id,vehicle_eclass,vehicle_fuel,laneID,vehicle_type,vehicle_x,vehicle_y,edgeID,lon,lat,cluster_label
27,pedestrian_1-1-veh_349_tr,hbefa3/pc_g_eu4,1.13,152608_1,uber,5474.98,3046.49,152608,7.430283891775882,43.74671454963204,1
28,pedestrian_1-1-veh_354_tr,hbefa3/pc_g_eu4,1.0,152605_2_1,uber,5598.32,3103.62,152605_2,7.431822800242084,43.74724421119824,1
29,pedestrian_1-1-veh_358_tr,hbefa3/pc_g_eu4,1.0,152817_0_1,taxi,5063.76,1447.03,152817_0,7.427048995770164,43.732558372748976,1
30,pedestrian_1-1-veh_35_tr,hbefa3/pc_g_eu4,1.0,152816_5_2,uber,4720.24,1834.26,152816_5,7.421569278852506,43.73681578935719,1
31,pedestrian_1-1-veh_362_tr,hbefa3/pc_g_eu4,1.0,152385_0,taxi,4792.78,2031.68,152385,7.4225299945710255,43.73760292961856,1
32,pedestrian_1-1-veh_371_tr,hbefa3/pc_g_eu4,1.0,152664_6_1,uber,5275.58,2468.6,152664_6,7.428041916264375,43.74158246941977,1
33,pedestrian_1-1-veh_411_tr,hbefa3/pc_g_eu4,0.98,152701_1_1,taxi,4642.24,2168.94,152701_1,7.420125374504248,43.73871219768168,1
34,pedestrian_1-1-veh_424_tr,hbefa3/pc_g_eu4,1.0,152422_1_1,taxi,4997.7,1519.79,152422_1,7.427185440893145,43.7332421068285,1
35,pedestrian_1-1-veh_442_tr,hbefa3/pc_g_eu4,1.0,152606_0_1,taxi,5602.98,3189.64,152606_0,7.431643789012533,43.74810170315136,1
36,pedestrian_1-1-veh_443_tr,hbefa3/pc_g_eu4,0.92,152776_1,taxi,5192.0,1469.79,152776,7.427277115904525,43.73231093744391,1
37,pedestrian_1-1-veh_44_tr,hbefa3/pc_g_eu4,1.12,152234_1,taxi,4587.49,2166.8,152234,7.419384703267362,43.738544028966416,1
38,pedestrian_1-1-veh_457_tr,hbefa3/pc_g_eu4,1.13,152816_5_2,taxi,4739.21,1926.11,152816_5,7.421569278852506,43.73681578935719,1
39,pedestrian_1-1-veh_459_tr,hbefa3/pc_g_eu4,1.0,152776_1,taxi,5192.0,1469.79,152776,7.427277115904525,43.73231093744391,1
40,pedestrian_1-1-veh_486_tr,hbefa3/pc_g_eu4,1.0,152701_2_2,uber,4720.0,2199.92,152701_2,7.420345283773855,43.7387553946535,1
41,pedestrian_1-1-veh_499_tr,hbefa3/pc_g_eu4,0.98,152667_10_2,taxi,5376.54,2831.61,152667_10,7.428708803342658,43.74381863207318,1
42,pedestrian_1-1-veh_503_tr,hbefa3/pc_g_eu4,0.94,153423_3_1,taxi,4275.19,2503.95,153423_3,7.415777191716104,43.74173704818613,1
43,pedestrian_1-1-veh_512_tr,hbefa3/pc_g_eu4,1.12,152817_0_1,uber,4929.3,1418.98,152817_0,7.427048995770164,43.732558372748976,1
44,pedestrian_1-1-veh_52_tr,hbefa3/pc_g_eu4,1.13,152701_2_1,taxi,4667.72,2174.0,152701_2,7.4203527327518595,43.73872713576025,1
45,pedestrian_1-1-veh_537_tr,hbefa3/pc_g_eu4,1.13,152234_1,uber,4580.31,2155.6,152234,7.419384703267362,43.738544028966416,1
46,pedestrian_1-1-veh_563_tr,hbefa3/pc_g_eu4,1.13,152606_4_1,taxi,5524.19,3093.33,152606_4,7.431313450589197,43.74730141684959,1
47,pedestrian_1-1-veh_579_tr,hbefa3/pc_g_eu4,1.0,152385_0,uber,4816.55,2040.71,152385,7.4225299945710255,43.73760292961856,1
48,pedestrian_1-1-veh_603_tr,hbefa3/pc_g_eu4,1.0,152667_9_1,taxi,5328.22,2693.22,152667_9,7.428554920314418,43.74351038810794,1
49,pedestrian_1-1-veh_627_tr,hbefa3/pc_g_eu4,1.0,152667_10_1,uber,5347.22,2734.56,152667_10,7.4287450048820896,43.74380679470676,1
50,pedestrian_1-1-veh_661_tr,hbefa3/pc_g_eu4,1.13,152777_1,taxi,5217.3,1523.07,152777,7.426868307860987,43.73281051226984,1
51,pedestrian_1-1-veh_672_tr,hbefa3/pc_g_eu4,1.0,152701_0_1,uber,4614.2,2184.8,152701_0,7.419575640967865,43.7387490745554,1
52,pedestrian_1-1-veh_675_tr,hbefa3/pc_g_eu4,1.13,152777_1,uber,5217.3,1523.07,152777,7.426868307860987,43.73281051226984,1
53,pedestrian_1-1-veh_677_tr,hbefa3/pc_g_eu4,0.95,152693_1_1,uber,4803.21,2371.18,152693_1,7.422142645661729,43.74052110483147,1
54,pedestrian_1-1-veh_688_tr,hbefa3/pc_g_eu4,1.13,152937_4_1,taxi,5511.52,3159.39,152937_4,7.430600650841815,43.748732410343656,1
